ID,CardID,rooms
171B0,0x8962c35cfda81a,"0,0,1,1,0,1"
171B1,0x10924aa56d54dfa,"1,0,1,0,0,0"
171B2,0x145da859e7b28d6,"0,1,1,0,1,1"
171B3,0xaca10222684660,"0,1,1,0,1,0"
171B4,0xe07c5c3c3b43e,"0,0,1,0,1,1"
171B5,0x7e3eb1eda1f507,"0,1,1,0,1,0"
171B6,0x1550258f42e4917,"1,1,0,1,1,1"
171B7,0xbc7018e5a20b92,"1,0,0,0,0,0"
171B8,0x28d4b4e51fdd55,"0,0,1,0,0,0"
171B9,0x4cd198a30f6621,"1,0,1,1,0,1"
171B10,0x13b3af1324caedc,"0,1,0,0,1,1"
171B11,0x9b693d6f6ed9e3,"0,1,0,1,0,0"
171B12,0x618be5259cf39a,"0,0,1,1,1,1"
171B13,0xd55a0158c03ee2,"0,1,1,0,0,1"
171B14,0x2d11104677c30d,"1,0,1,0,1,0"
171B15,0xb154d2ed53f840,"0,0,1,0,1,1"
171B16,0x14d21702ffeb1d9,"1,1,1,1,1,0"
171B17,0x40f9401772318a,"0,0,0,1,1,1"
171B18,0x15fb73ab9803649,"0,0,1,0,0,1"
171B19,0x7e8154c99cc615,"1,0,0,0,1,0"
171B20,0x9368511ea8f1ca,"1,0,1,1,0,0"
171B21,0xf01fa505a6cb4a,"0,0,1,1,0,0"
171B22,0xd609a04fed05ea,"1,1,1,1,0,1"
171B23,0xa095eeb7401e7e,"0,0,0,0,0,1"
171B24,0x12fe86fa9a0227,"0,0,0,1,1,0"
171B25,0x4be825f5d37cb9,"1,1,1,0,1,1"
171B26,0xcf9ca24319f7c5,"1,0,1,0,0,0"
171B27,0x84fbe9134112bd,"0,0,0,0,1,0"
171B28,0x88bda4beb0d8ba,"1,0,0,1,0,1"
171B29,0xa52350160ba5d8,"1,1,1,0,1,1"
171B30,0x26770e320172d7,"0,1,0,1,1,0"
171B31,0x8a53185c782bd2,"0,1,1,1,0,0"
171B32,0x2a4844e8520c0b,"1,0,1,1,1,1"
171B33,0x70619d022c98f0,"0,1,0,0,1,1"
171B34,0x12cb215cf46a29b,"0,0,1,1,1,0"
171B35,0xeca64267e51502,"0,1,0,1,1,0"
171B36,0xd201f0d9d8045c,"0,0,1,1,1,0"
171B37,0x6464d06bee631b,"1,0,1,0,1,1"
